Coin Name,Market Cap,Price,Volume(24h),Circulating Supply,Change(24h)
Dai,"$191,377,018",$1.02,"$8,135,662","188,548,555 DAI *",-0.17%
Decred,"$186,774,701",$15.92,"$8,646,886","11,729,497 DCR",0.18%
Algorand,"$186,726,532",$0.241931,"$31,314,206","771,817,007 ALGO",1.12%
Binance USD,"$171,516,095",$0.999953,"$91,597,578","171,524,131 BUSD *",-0.33%
Bitcoin Gold,"$161,909,352",$9.24,"$31,839,572","17,513,924 BTG",-0.94%
Hyperion,"$161,828,017",$0.510876,"$7,443,151","316,765,917 HYN *",1.37%
Bitcoin Diamond,"$158,479,573",$0.849789,"$14,482,918","186,492,898 BCD",2.80%
Elrond,"$156,830,584",$0.011914,"$89,116,430","13,163,632,813 ERD *",45.76%
Ren,"$150,283,511",$0.173454,"$6,671,969","866,416,516 REN *",-2.17%
Lisk,"$147,603,247",$1.18,"$4,104,056","124,604,464 LSK *",-0.16%
Siacoin,"$145,997,952",$0.003491,"$8,674,809","41,817,047,634 SC",-0.99%
Enjin Coin,"$143,995,766",$0.175348,"$9,012,755","821,201,679 ENJ *",-2.76%
TrueUSD,"$138,502,248",$1.00,"$65,792,927","138,373,988 TUSD *",-0.20%
Nano,"$133,718,886",$1.00,"$5,674,948","133,248,297 NANO *",-2.63%
Ravencoin,"$129,096,547",$0.019660,"$8,503,735","6,566,545,000 RVN",0.18%
Nexo,"$123,987,369",$0.221406,"$6,381,188","560,000,011 NEXO *",-0.04%
Waves,"$120,495,117",$1.18,"$24,079,904","102,429,538 WAVES *",0.12%
Holo,"$118,754,392",$0.000718,"$23,370,923","165,487,914,558 HOT *",-10.54%
HUSD,"$115,510,629",$1.00,"$14,841,425","115,476,584 HUSD *",-0.29%
MonaCoin,"$110,456,393",$1.68,"$5,072,268","65,729,675 MONA",-1.87%
Verge,"$107,286,728",$0.006573,"$4,252,586","16,323,063,143 XVG",-2.36%
Loopring,"$105,549,366",$0.096151,"$12,587,211","1,097,751,146 LRC *",2.70%
Flexacoin,"$104,310,063",$0.003685,"$161,558","28,305,870,833 FXC *",-5.59%
ZB Token,"$102,316,714",$0.220849,"$7,205,611","463,288,810 ZB *",-0.88%
Bancor,"$101,946,590",$1.47,"$47,787,948","69,148,554 BNT *",-2.21%
Bytom,"$101,742,730",$0.092347,"$28,084,390","1,101,743,219 BTM",-1.40%
DxChain Token,"$100,980,286",$0.002020,"$301,437","50,000,000,000 DX *",0.83%
Nervos Network,"$100,684,147",$0.005067,"$6,439,345","19,872,068,813 CKB *",-4.23%
IOST,"$96,379,544",$0.006421,"$49,942,182","15,009,546,992 IOST *",0.53%
Celsius,"$95,431,664",$0.399524,"$525,795","238,863,520 CEL *",0.49%
Status,"$92,386,254",$0.026621,"$33,353,220","3,470,483,788 SNT *",-0.87%
Quant,"$91,970,662",$7.62,"$1,214,294","12,072,738 QNT *",-17.62%
BitTorrent,"$87,727,321",$0.000414,"$81,377,994","212,116,500,000 BTT *",14.29%
Divi,"$85,632,033",$0.048179,"$184,125","1,777,389,097 DIVI",1.73%
Terra,"$80,084,984",$0.207991,"$5,778,135","385,041,122 LUNA *",-0.64%
Komodo,"$79,171,355",$0.655965,"$3,854,760","120,694,458 KMD",1.81%
Steem,"$78,910,197",$0.212853,"$3,154,761","370,726,129 STEEM *",0.37%
Matic Network,"$77,571,457",$0.020816,"$22,355,431","3,726,520,350 MATIC *",1.68%
Blockstack,"$74,024,916",$0.146281,"$2,010,412","506,047,736 STX *",-3.09%
iExec RLC,"$70,176,407",$0.876430,"$4,393,219","80,070,793 RLC *",-5.77%
Ampleforth,"$70,110,541",$3.07,"$4,868,560","22,863,883 AMPL *",14.31%
Horizen,"$69,530,891",$7.34,"$5,996,185","9,471,438 ZEN",0.00%
BitShares,"$68,524,982",$0.024910,"$5,222,364","2,750,910,000 BTS *",1.06%
Hive,"$68,257,158",$0.226420,"$7,538,405","301,463,193 HIVE *",4.15%
MCO,"$66,390,026",$4.20,"$20,438,556","15,793,831 MCO *",-1.21%
Stratis,"$65,401,455",$0.654858,"$25,669,904","99,871,271 STRAT *",16.85%
Super Zero Protocol,"$65,390,504",$0.236685,"$17,223,931","276,276,851 SERO *",25.94%
WAX,"$65,248,582",$0.053315,"$1,819,171","1,223,842,764 WAXP *",-1.10%
KuCoin Shares,"$64,274,025",$0.791062,"$4,850,339","81,250,284 KCS *",0.73%
SwissBorg,"$63,369,139",$0.088688,"$833,713","714,514,612 CHSB *",-3.63%
Energi,"$60,429,977",$1.96,"$1,145,918","30,775,531 NRG",0.97%
ABBC Coin,"$59,141,487",$0.106481,"$46,524,491","555,416,924 ABBC",-3.59%
Chiliz,"$58,662,375",$0.012517,"$7,036,102","4,686,696,857 CHZ *",2.41%
Electroneum,"$56,633,361",$0.005573,"$368,094","10,162,286,133 ETN",1.23%
Decentraland,"$56,611,019",$0.040095,"$12,570,552","1,411,927,448 MANA *",-0.11%
Zcoin,"$56,411,786",$5.36,"$21,164,628","10,519,294 XZC",9.84%
HyperCash,"$54,923,520",$1.23,"$19,104,732","44,685,838 HC",-2.16%
Numeraire,"$53,956,924",$20.02,"$529,306","2,695,079 NMR *",0.19%
Golem,"$53,210,686",$0.053712,"$9,360,615","990,670,000 GNT *",-1.27%
aelf,"$53,128,811",$0.097577,"$19,099,680","544,480,200 ELF *",-2.13%
Reserve Rights,"$53,055,073",$0.007745,"$3,103,997","6,849,999,000 RSR *",-2.72%
v.systems,"$52,515,851",$0.025782,"$4,065,576","2,036,913,683 VSYS *",2.69%
Digitex Futures,"$51,718,340",$0.058986,"$1,816,688","876,785,715 DGTX *",-2.67%
NULS,"$51,648,224",$0.527543,"$66,642,021","97,903,326 NULS",-5.20%
Ardor,"$51,398,272",$0.051450,"$2,491,857","998,999,495 ARDR *",-1.11%
RSK Infrastructure Framework,"$50,343,175",$0.081169,"$1,121,987","620,224,309 RIF *",-1.71%
Aion,"$50,251,300",$0.114385,"$6,801,457","439,318,769 AION",9.24%
Pundi X,"$49,061,204",$0.000209,"$8,732,245","234,602,965,992 NPXS *",10.70%
Aeternity,"$47,920,717",$0.152089,"$10,261,033","315,083,989 AE",5.84%
Kava,"$47,828,074",$1.43,"$12,679,382","33,485,395 KAVA *",8.65%
Unibright,"$47,397,952",$0.318974,"$1,540,644","148,594,999 UBT *",2.64%
TomoChain,"$46,539,738",$0.653160,"$6,288,392","71,253,225 TOMO",2.19%
SOLVE,"$46,165,142",$0.135571,"$1,454,345","340,523,878 SOLVE *",0.16%
Bytecoin,"$43,905,918",$0.000239,"$68,028","184,066,828,814 BCN",8.48%
Aragon,"$43,872,499",$1.37,"$330,365","31,980,881 ANT *",1.04%
MaidSafeCoin,"$42,744,406",$0.094452,"$236,092","452,552,412 MAID *",-2.61%
PAX Gold,"$42,223,990","$1,798.95","$961,565","23,471 PAXG *",0.35%
CyberVein,"$40,330,451",$0.038033,"$1,292,645","1,060,404,496 CVT *",-2.24%
Power Ledger,"$38,904,146",$0.091958,"$1,343,024","423,063,633 POWR *",0.03%
Harmony,"$38,378,691",$0.006135,"$11,323,306","6,255,461,110 ONE *",0.12%
WaykiChain,"$37,842,123",$0.200223,"$1,358,044","189,000,000 WICC *",4.61%
Orbs,"$37,128,714",$0.016998,"$710,876","2,184,307,598 ORBS *",6.01%
ReddCoin,"$36,924,917",$0.001282,"$214,897","28,808,713,174 RDD *",-0.56%
Swipe,"$36,596,295",$0.554634,"$17,421,962","65,982,752 SXP *",2.90%
Gatechain Token,"$36,492,700",$0.527284,"$16,324,737","69,208,835 GT *",-1.12%
Ocean Protocol,"$36,438,692",$0.105842,"$2,778,631","344,273,981 OCEAN *",12.09%
DAD,"$36,206,130",$0.304846,"$3,233,647","118,768,399 DAD *",0.56%
STASIS EURO,"$35,804,986",$1.12,"$1,712,657","31,979,207 EURS *",-0.12%
Ark,"$35,421,549",$0.289967,"$1,937,848","122,157,267 ARK *",-0.23%
Streamr,"$34,765,654",$0.051055,"$815,896","680,943,835 DATA *",1.24%
Xensor,"$34,727,321",$0.031343,"$4,434,829","1,107,981,347 XSR *",6.45%
Huobi Pool Token,"$34,074,941",$0.006834,"$2,172,057","4,985,871,071 HPT *",16.09%
Elastos,"$33,176,374",$1.80,"$1,703,418","18,417,952 ELA",15.68%
Storj,"$33,015,714",$0.169921,"$4,320,702","194,300,317 STORJ *",-2.14%
GXChain,"$32,958,638",$0.507056,"$16,721,202","65,000,000 GXC *",-1.66%
Band Protocol,"$32,879,042",$1.60,"$5,147,162","20,494,033 BAND *",-3.29%
Crypterium,"$32,295,829",$0.324614,"$107,408","99,489,845 CRPT *",4.16%
Theta Fuel,"$32,177,825",$0.008383,"$3,130,609","3,838,301,572 TFUEL *",-0.91%
Dragonchain,"$32,103,341",$0.094644,"$83,298","339,202,417 DRGN *",-0.09%
Thunder Token,"$30,748,171",$0.005638,"$5,653,178","5,453,842,548 TT *",2.32%
Insolar,"$29,893,527",$0.747338,"$1,431,453","40,000,000 XNS *",-2.38%
Ripio Credit Network,"$29,852,477",$0.058209,"$419,601","512,848,857 RCN *",-1.73%
Cortex,"$29,540,578",$0.118191,"$17,761,509","249,938,725 CTXC",6.59%
IoTeX,"$29,422,614",$0.006099,"$5,293,328","4,823,952,133 IOTX *",8.37%
Gnosis,"$29,406,161",$26.62,"$210,996","1,104,590 GNO *",2.76%
Haven Protocol,"$28,967,807",$2.24,"$865,378","12,937,491 XHV *",9.13%
Seele-N,"$28,335,202",$0.040502,"$238,549","699,592,066 SEELE *",5.83%
BHEX Token,"$28,041,155",$0.143331,"$228,726","195,639,532 BHT *",0.45%
Wanchain,"$27,965,042",$0.225707,"$948,429","123,899,997 WAN *",0.07%
Waltonchain,"$27,227,970",$0.390913,"$8,706,408","69,652,267 WTC *",-3.74%
Nimiq,"$26,986,283",$0.004352,"$2,894,247","6,200,269,980 NIM",18.56%
Request,"$26,583,860",$0.033891,"$926,870","784,401,135 REQ *",0.98%
Molecular Future,"$26,509,184",$0.310117,"$4,505,776","85,481,225 MOF *",-2.00%
Beam,"$26,278,968",$0.398405,"$8,631,006","65,960,440 BEAM",0.63%
FunFair,"$26,020,803",$0.003973,"$771,035","6,548,879,189 FUN *",3.30%
Wirex Token,"$25,781,775",$0.009914,"$1,727,231","2,600,500,000 WXT *",0.41%
Fetch.ai,"$25,743,674",$0.034757,"$4,008,993","740,683,082 FET *",2.63%
PIVX,"$25,652,044",$0.451770,"$466,893","56,781,166 PIVX *",3.13%
IRISnet,"$24,752,849",$0.033006,"$3,452,945","749,940,107 IRIS *",-9.48%
Fusion,"$24,710,846",$0.543552,"$4,058,199","45,461,811 FSN *",-3.11%
TrueChain,"$24,460,999",$0.307393,"$24,271,808","79,575,543 TRUE *",7.92%
Utrust,"$24,414,794",$0.054255,"$7,088,464","450,000,000 UTK *",-7.70%
WINk,"$23,917,661",$0.000076,"$1,766,895","313,607,571,387 WIN *",2.37%
ARPA Chain,"$23,778,433",$0.032479,"$153,320,605","732,123,132 ARPA *",64.87%
Project Pai,"$23,429,087",$0.015907,"$606,997","1,472,885,046 PAI *",0.44%
Origin Protocol,"$23,307,002",$0.310516,"$11,964,100","75,058,951 OGN *",-3.79%
Aurora,"$23,186,437",$0.003544,"$1,195,397","6,542,330,148 AOA *",1.09%
12Ships,"$23,030,687",$0.004696,"$327,525","4,904,442,417 TSHP *",0.70%
MX Token,"$23,007,981",$0.127610,"$2,983,984","180,299,022 MX *",0.27%
Nebulas,"$22,930,030",$0.441365,"$7,979,938","51,952,589 NAS *",6.35%
Polymath,"$22,589,833",$0.043353,"$2,406,322","521,070,098 POLY *",5.06%
Grin,"$22,098,413",$0.473798,"$6,017,236","46,641,000 GRIN",1.71%
Metal,"$21,975,298",$0.335584,"$5,414,506","65,483,821 MTL *",4.43%
WazirX,"$21,569,457",$0.140024,"$7,783,305","154,041,360 WRX *",2.10%
XinFin Network,"$21,496,444",$0.003166,"$1,455,750","6,788,785,820 XDCE *",0.30%
Kusama,"$21,357,164",$7.15,"$2,747,643","2,985,094 KSM *",-4.81%
Tachyon Protocol,"$21,248,938",$0.079626,"$2,717,068","266,858,531 IPX *",2.84%
Ankr,"$20,394,941",$0.003950,"$9,252,114","5,162,899,378 ANKR *",17.92%
Function X,"$20,221,816",$0.089212,"$217,057","226,670,701 FX *",-1.42%
Loom Network,"$20,150,152",$0.020776,"$9,076,099","969,874,641 LOOM *",-0.34%
BOSAGORA,"$19,748,349",$0.070000,"$417,489","282,119,914 BOA *",-1.58%
Syscoin,"$19,123,371",$0.032402,"$463,000","590,187,261 SYS",-2.88%
Enigma,"$19,062,286",$0.254720,"$1,112,996","74,836,171 ENG *",6.80%
Celer Network,"$18,809,297",$0.004970,"$4,792,706","3,784,586,208 CELR *",12.40%
BitKan,"$18,671,200",$0.002938,"$922,458","6,354,949,656 KAN *",-0.95%
Aidos Kuneen,"$18,622,064",$0.744883,"$4,977,669","25,000,000 ADK *",0.81%
Civic,"$18,538,252",$0.027669,"$7,205,890","670,000,000 CVC *",0.81%
Fantom,"$18,516,382",$0.010209,"$7,706,417","1,813,658,595 FTM *",-6.68%
Dent,"$18,445,323",$0.000224,"$1,884,652","82,173,941,183 DENT *",6.25%
Nash Exchange,"$18,352,362",$0.782864,"$60,712","23,442,586 NEX *",-0.31%
Populous,"$18,210,771",$0.341972,"$2,410,112","53,252,246 PPT *",-0.31%
HEX,"$864,658,889",$0.003615,"$985,981","239,165,359,681 HEX *",1.01%
Acash Coin,"$552,593,416",$0.078904,"$170,789","7,003,331,814 ACA *",-60.78%
VestChain,"$488,542,078",$0.055215,"$397,082","8,848,000,000 VEST *",0.26%
INO COIN,"$378,561,480",$2.10,"$458,543","180,003,180 INO *",-0.11%
Counos X,"$358,920,192",$20.27,"$1,338,795","17,708,573 CCXX",-0.93%
TNC Coin,"$235,608,968",$0.101976,"$16,874,600","2,310,424,689 TNC *",-0.81%
MINDOL,"$206,087,035",$1.21,"$87,544","170,303,576 MIN *",-6.13%
BitBay,"$177,469,691",$0.175340,$413,"1,012,146,906 BAY *",-0.85%
Zelwin,"$173,962,322",$4.59,"$575,812","37,883,169 ZLW *",4.69%
Largo Coin,"$171,298,742",$10.14,"$1,920,721","16,887,455 LRG *",-0.13%
MimbleWimbleCoin,"$164,322,709",$15.87,"$2,675,879","10,355,271 MWC *",0.12%
TAGZ5,"$156,672,744",$0.407511,$1,"384,462,438 TAGZ5 *",-0.51%
ThoreCoin,"$155,516,885","$1,794.02","$21,433","86,686 THR *",-0.18%
Insight Chain,"$142,088,256",$0.406079,$189,"349,902,689 INB *",-3.35%
Baer Chain,"$110,975,260",$0.637789,"$2,399","174,000,000 BRC *",2.44%
Homeros,"$99,611,183",$0.432787,"$2,827,007","230,162,005 HMR *",-0.67%
GlitzKoin,"$97,335,805",$0.393277,"$1,304,333","247,499,428 GTN *",-0.07%
botXcoin,"$95,771,677",$0.058680,"$244,131","1,632,102,305 BOTX *",-0.88%
Velas,"$95,199,230",$0.070896,"$1,392,888","1,342,809,241 VLX *",-2.78%
Metaverse Dualchain Network Architecture,"$92,673,508",$0.006535,"$1,641,951","14,181,839,501 DNA *",-0.44%
Cryptonex,"$92,267,597",$1.66,"$1,264,623","55,686,329 CNX",0.12%
Advanced Internet Blocks,"$90,312,784",$0.003730,"$15,818","24,213,254,183 AIB",76.12%
Mixin,"$89,274,906",$172.66,"$5,700,445","517,062 XIN *",3.96%
Sologenic,"$81,482,824",$0.407410,"$13,818,661","200,001,808 SOLO *",-2.07%
PlayFuel,"$79,008,668",$0.158017,"$503,106","500,000,000 PLF *",-2.29%
Counos Coin,"$73,059,071",$4.92,"$199,028","14,848,324 CCA",-0.30%
Centrality,"$71,372,623",$0.079206,"$122,327","901,103,804 CENNZ *",-1.86%
THORChain,"$70,203,487",$0.443114,"$2,910,634","158,432,088 RUNE *",-2.54%
QCash,"$65,673,441",$0.142768,"$127,038,008","460,000,200 QC *",-0.48%
ERC20,"$62,426,648",$0.055413,"$81,374","1,126,570,974 ERC20 *",2.97%
NewYork Exchange,"$58,484,489",$9.30,"$1,813,389","6,290,106 NYE *",-0.66%
Idea Chain Coin,"$54,857,821",$2.45,"$1,308,207","22,352,304 ICH *",-5.24%
Beldex,"$53,550,725",$0.054631,"$89,173","980,222,595 BDX *",-1.98%
Wrapped Bitcoin,"$53,550,015","$9,203.71","$266,280","5,818 WBTC *",-0.18%
STEM CELL COIN,"$52,245,114",$0.162931,"$568,319","320,658,118 SCC *",2.65%
Elamachain,"$51,771,415",$0.091480,"$5,625,578","565,933,389 ELAMA *",-9.16%
FABRK,"$46,136,078",$0.009623,"$1,026,193","4,794,443,397 FAB *",5.84%
Joule,"$45,705,069",$0.045230,$?,"1,010,499,999 JUL *",0.00%
Attila,"$45,690,012",$0.101447,"$192,222","450,382,736 ATT *",0.30%
Bitbook Gambling,"$43,887,828",$0.122699,"$195,149","357,687,491 BXK *",1.32%
BitcoinHD,"$43,462,832",$7.14,"$2,089,133","6,083,016 BHD *",-2.51%
BTU Protocol,"$43,462,673",$0.482838,"$356,558","90,014,991 BTU *",-0.78%
Bankera,"$40,606,869",$0.001649,"$10,196","24,618,912,108 BNK *",-2.82%
Breezecoin,"$37,583,256",$0.375833,"$430,802","100,000,000 BRZE *",2.30%
Bitball Treasure,"$36,275,327",$80.61,$114,"450,000 BTRS *",-28.49%
Bloomzed Token,"$35,677,987",$1.55,"$18,444","23,000,000 BZT *",-9.20%
Vitae,"$34,009,381",$1.75,"$1,647,793","19,471,178 VITAE",6.65%
Tap,"$34,001,441",$0.065538,"$310,897","518,802,335 XTP *",-8.55%
inSure,"$31,739,601",$0.008931,"$14,484","3,553,964,974 SURE *",96.91%
CRYPTOBUCKS,"$31,490,412",$0.008009,"$1,522","3,932,014,867 CBUCKS *",19.64%
APIX,"$30,637,444",$0.278555,"$9,304,475","109,987,079 APIX *",-17.62%
Buggyra Coin Zero,"$30,272,413",$0.015055,"$1,266","2,010,775,988 BCZERO *",-6.09%
PRIZM,"$29,313,628",$0.016351,"$216,935","1,792,720,974 PZM *",0.77%
Stakenet,"$28,663,891",$0.274875,"$1,558,261","104,279,906 XSN *",27.98%
USDK,"$28,650,231",$1.00,"$94,889,531","28,600,072 USDK *",-0.20%
DeviantCoin,"$28,101,240",$1.00,"$79,566","28,042,712 DEV",15.60%
Egoras,"$27,802,809",$0.000427,"$398,689","65,160,356,358 EGR *",-49.55%
Poseidon Network,"$27,702,714",$0.012868,"$216,215","2,152,875,408 QQQ *",3.96%
WhiteCoin,"$26,757,971",$0.106953,"$811,097","250,183,629 XWC *",-0.75%
Davinci Coin,"$26,461,266",$0.005845,"$6,382,407","4,526,901,499 DAC *",-1.82%
IDEX,"$26,383,155",$0.050760,"$49,173","519,758,685 IDEX *",-2.94%
UNI COIN,"$25,990,508",$0.433107,$?,"60,009,414 UNI *",0.00%
RChain,"$25,808,966",$0.053447,"$518,653","482,890,386 REV *",14.83%
Nectar,"$25,409,453",$0.169826,"$25,859","149,620,381 NEC *",23.30%
Qubitica,"$25,373,118",$31.38,"$124,435","808,675 QBIT *",-1.58%
PLATINCOIN,"$25,272,485",$5.05,"$671,208","5,001,073 PLC *",0.85%
Chimpion,"$25,239,820",$0.795522,"$439,192","31,727,387 BNANA *",-2.95%
NEXT,"$24,940,219",$0.615932,"$562,316","40,491,818 NET *",3.84%
BitMax Token,"$24,544,989",$0.037155,"$2,820,330","660,615,274 BTMX *",-0.66%
Tratin,"$24,432,141",$0.000218,$0.842622,"112,002,966,735 TRAT *",-7.62%
XeniosCoin,"$24,155,567",$0.316761,"$97,267","76,257,948 XNC *",-0.19%
1irstcoin,"$24,055,861",$0.672590,"$37,797","35,766,004 FST *",-0.33%
ZEON,"$23,788,288",$0.000928,"$14,456","25,631,716,490 ZEON *",-5.20%
Handshake ,"$23,767,500",$0.083646,"$944,266","284,142,326 HNS *",-0.11%
CasinoCoin,"$23,700,934",$0.000593,"$74,739","39,989,711,932 CSC *",1.82%
AgaveCoin,"$23,042,070",$0.058989,"$17,659","390,619,593 AGVC *",-0.97%
sUSD,"$22,721,629",$1.01,"$8,033","22,510,653 SUSD *",0.21%
Folgory Coin,"$21,640,587",$1.36,"$670,552","15,872,258 FLG *",17.95%
pNetwork,"$21,273,557",$0.685371,"$2,541,336","31,039,489 PNT *",-0.40%
CRYPTO20,"$20,951,786",$0.519654,"$2,420","40,318,703 C20 *",-2.83%
Ultiledger,"$20,572,912",$0.014479,"$912,805","1,420,928,294 ULT *",-0.49%
Hellenic Coin,"$20,438,745",$0.293229,"$39,097","69,702,417 HNC",3.56%
Ecoreal Estate,"$20,354,501",$0.097427,$832,"208,919,605 ECOREAL *",-1.85%
WOM Protocol,"$20,170,046",$0.201685,"$2,464,471","100,007,450 WOM *",4.06%
BigONE Token,"$19,995,211",$0.002116,"$2,425,862","9,449,081,034 ONE *",-0.13%
Rocket Pool,"$19,016,802",$1.85,"$495,595","10,279,742 RPL *",-9.95%
Massnet,"$18,175,408",$0.235338,"$1,008,792","77,230,978 MASS *",-4.15%
Dynamic Trading Rights,"$17,844,107",$0.011529,"$12,882","1,547,818,303 DTR *",-0.28%
Ignis,"$17,740,531",$0.023308,"$656,220","761,143,950 IGNIS *",2.42%
Karatgold Coin,"$17,495,569",$0.003812,"$524,055","4,590,051,003 KBC *",-2.92%
CONTRACOIN,"$17,361,264",$0.978286,"$15,964","17,746,608 CTCN *",-0.19%
Gas,"$17,179,642",$1.70,"$14,104,096","10,128,375 GAS *",0.79%
ExtStock Token,"$16,976,379",$0.028219,$?,"601,588,625 XT *",0.00%
MovieBloc,"$16,801,571",$0.001985,"$10,590,214","8,464,180,243 MBL *",4.12%
Uquid Coin,"$16,732,317",$1.67,"$5,325,893","10,000,000 UQC *",-0.84%
Machine Xchange Coin,"$16,665,110",$0.006547,"$2,381,894","2,545,538,083 MXC *",-0.13%
Bonorum,"$16,461,784",$42.76,$280,"384,992 BONO *",-7.56%
Jewel,"$16,371,418",$0.299239,$329,"54,710,245 JWL *",-2.20%
Melon,"$16,301,408",$13.04,"$116,602","1,250,000 MLN *",0.95%
Kleros,"$16,250,736",$0.033636,"$198,270","483,136,010 PNK *",-4.65%
WeShow Token,"$16,224,756",$0.034978,"$1,614,737","463,851,903 WET *",-8.26%
Vertcoin,"$16,031,231",$0.288512,"$310,109","55,565,197 VTC",-0.52%
CryptalDash,"$15,979,911",$0.015980,"$4,197,604","1,000,000,000 CRD *",-0.41%
Everipedia,"$15,967,485",$0.001705,"$1,046,966","9,366,730,271 IQ *",-0.23%
ILCoin,"$15,868,031",$0.030372,"$619,353","522,452,487 ILC",-2.20%
Solana,"$15,844,600",$0.918652,"$1,820,037","17,247,663 SOL *",7.53%
Mooncoin,"$15,814,933",$0.000070,$41,"226,890,128,004 MOON",544.14%
Quantstamp,"$15,792,500",$0.025583,"$879,998","617,314,171 QSP *",10.53%
StormX,"$15,699,483",$0.002306,"$3,835,151","6,808,953,501 STMX *",-2.74%
Hxro,"$15,600,046",$0.116625,"$163,172","133,762,016 HXRO *",12.75%
QuarkChain,"$15,533,296",$0.007177,"$11,669,620","2,164,173,735 QKC *",5.05%
COTI,"$15,504,104",$0.030107,"$2,480,417","514,970,799 COTI *",1.25%
